trans_id;account_id;date;type;operation;amount;balance;k_symbol;bank;account
789772;2694;930310;credit;credit in cash;17585.00;18285.00;;;
2776158;9188;930310;credit;credit in cash;3700.00;17210.00;;;
237652;813;930311;credit;collection from another bank;12154.00;25443.50;;QR;19537103
1736610;5891;930312;credit;collection from another bank;32594.00;61609.60;;CD;51054984
237946;813;930312;credit;credit in cash;700.00;26143.50;;;
1074957;3674;930312;credit;credit in cash;1000.00;1000.00;;;
2242713;7401;930312;credit;collection from another bank;20236.00;21336.00;;ST;66487163
279;2;930312;credit;collection from another bank;20236.00;21336.00;;ST;66487163
1121966;3834;930312;credit;credit in cash;13875.00;35084.70;;;
3314627;11013;930313;credit;collection from another bank;42244.00;42844.00;;YZ;45816707
2910390;9640;930313;credit;collection from another bank;19106.00;19106.00;;UV;13876933
2910387;9640;930313;credit;credit in cash;1100.00;20206.00;;;
1548752;5270;930314;credit;collection from another bank;44749.00;125825.70;;IJ;80269753
1549099;5270;930314;withdrawal;withdrawal in cash;51700.00;74125.70;;;
1549100;5270;930314;withdrawal;withdrawal in cash;25300.00;48825.70;;;
1977570;6701;930315;credit;credit in cash;200.00;200.00;;;
528025;1801;930315;credit;credit in cash;3700.00;23374.90;;;
3394149;11265;930315;withdrawal;withdrawal in cash;800.00;25279.80;;;
2349715;7753;930316;credit;credit in cash;36130.00;71515.60;;;
3315106;11013;930316;withdrawal;withdrawal in cash;7000.00;35844.00;;;
527446;1801;930316;credit;credit in cash;8368.00;31742.90;;;
2809960;9307;930317;credit;credit in cash;16549.00;29857.60;;;
2349722;7753;930318;credit;credit in cash;7824.00;79339.60;;;
3123298;10364;930318;withdrawal;withdrawal in cash;4800.00;29524.30;;;
2256133;7445;930318;credit;credit in cash;200.00;200.00;;;
1779017;6034;930319;credit;credit in cash;200.00;200.00;;;
3331510;11065;930319;credit;credit in cash;1100.00;1100.00;;;
810128;2762;930320;credit;credit in cash;500.00;500.00;;;
527466;1801;930320;credit;credit in cash;36574.00;68316.90;;;
1122556;3834;930320;withdrawal;withdrawal in cash;6700.00;28384.70;;;
1935491;6555;930321;credit;credit in cash;12801.00;13101.00;;;
1602507;5442;930322;credit;credit in cash;300.00;300.00;;;
523621;1787;930322;credit;credit in cash;1100.00;1100.00;;;
1450518;4937;930322;withdrawal;withdrawal in cash;16400.00;37574.70;;;
